title,views,published,length
Giveaway to grow in baguazhang,265,7 months ago,1:00:36
Relax shoulders & drop elbows in baguazhang,247,7 months ago,47:18
Opening & Closing Qigong Exercises,148,7 months ago,36:51
Baguazhang circle walking basic footwork,555,7 months ago,52:48
The form I've been practicing for 15+ years,548,7 months ago,36:21
Monkey see; monkey do,217,7 months ago,3:15
#10 getting warm,106,7 months ago,23:33
#9 Biggest life dilemma ever,368,8 months ago,40:10
#8 Morning routines,98,8 months ago,20:47
#7 Play time,156,8 months ago,5:16
#6 Skill monetization price,153,8 months ago,45:05
#5 Ugly truth,172,8 months ago,57:46
#4 Rewinding Life,106,8 months ago,29:31
#3 Christmas with my dad,98,8 months ago,13:59
#2 Qigong Lifestyle,155,8 months ago,36:18
#1 Cleanup & Go,136,8 months ago,1:00:03
Practicing qigong in the back yard,169,8 months ago,52:52
Qigong & Aikido,227,8 months ago,1:12
I ported 3D Graphics Engine by @javidx9 from C++ to Javascript,397,8 months ago,10:01
Pointers might get really tricky in JavaScript,189,8 months ago,26:24
3D shading in pure JavaScript - rotating cube,174,8 months ago,2:59
3D rasterization in pure JavaScript - rotating cube,233,8 months ago,10:34
My binary logic simulator performance boost,425,8 months ago,9:49
Making logic gates from switches and inverters,150,8 months ago,22:32
Implementing Minecraft Redstones & Torches Digital Logic In Pure JavaScript,166,8 months ago,1:17:20
Shuxin Pingxue Gong | Xiaoyao bu | Yangsheng Taiji Zhang,172,8 months ago,10:46
how to hack a web camera on an android smartphone,653,8 months ago,45:02
Programming a digital clock in machine codes on the CMK Computer 2,323,9 months ago,59:27
I tried programming in machine codes and got addicted,296,10 months ago,3:27
Emulated 8-bit CPU of my own design running on Arduino Nano + LCD Shield 1602A D1 ROBOT + 4x4 Keypad,196,10 months ago,23:05
Burning bridges - installing Tiny Core Linux to HDD - bye Linux Mint,923,11 months ago,32:28
Talking about freedom vs comfort in regards to software,224,11 months ago,39:38
Preparing Simple Screen Recorder TCZ extension for submission to Tiny Core Linux repo,104,11 months ago,53:42
Creating Simple Screen Recorder TCZ extension for Tiny Core Linux,148,11 months ago,19:02
I built and ran Simple Screen Recorder under Tiny Core Linux,108,11 months ago,4:00
Migrating from Linux Mint to Tiny Core Linux,262,11 months ago,10:31
How to download Tiny Core Linux extensions from under other distros,769,1 year ago,12:44
Why Text Editors Violate Unix Philosophy And How To Prevent It,222,1 year ago,38:42
Python linux - tiny core based distro with nothing but python and WiFi support,452,1 year ago,16:00
Building custom tiny core linux - PART 4 - persistant HOME and TCE folders,203,1 year ago,28:30
Building custom tiny core linux - PART 3 - creating custom distribution,327,1 year ago,6:48
Building custom tiny core linux - PART 2 - remastering ISO by adding WIFI support,527,1 year ago,10:28
Building custom tiny core linux - PART 1 - burning installation ISO,824,1 year ago,10:52
Ved 0.0.1 released | Terminal based vi-like text editor built on top of GNU ed command,280,1 year ago,5:13
I've upgraded standard linux ed text editor to be alike vi or vim,128,1 year ago,23:54
Visual ED: splitting normal and command mode; scrolling through text with hjkl,77,1 year ago,5:39
I decided to upgrade standard text editor for Linux,718,1 year ago,17:49
Tiny vi-like text editor in only 100 lines of C++ code!,360,1 year ago,9:03
Programming a terminal based text editor in 50 lines of python code in under 1 hour,2100,1 year ago,59:31
I made a tiny VI clone in 125 lines of python code just to learn about VIM key bindings,2100,1 year ago,31:13
Copy pasting like no one did before,105,1 year ago,6:24
How to change font size in TTY (Linux Mint; Ubuntu),374,1 year ago,3:53
Revolutionary brand new approach to text editing that will blow your mind,584,1 year ago,4:06
Booting linux kernel directly into interactive Python shell,381,1 year ago,25:18
Resolving Python Pygments incompatibility with Curses in my terminal based text editor,230,1 year ago,12:18
Improving my Terminal based Text Editor [ Python & Curses ] so now it's somewhat usable,203,1 year ago,9:42
I made a terminal based text editor in 208 lines with Python & Curses,582,1 year ago,9:36
DIY Fullscreen 7 Segment LED Clock with esp32 and FabGL,427,1 year ago,2:32
I made Kilo text editor port to esp32  with FabGL,467,1 year ago,3:35
Building Linux system via automated shell script | mkroot by Rob Landley,606,1 year ago,31:08
How to build bare minimal Linux system,6000,1 year ago,15:13
How to build Linux Kernel from sources,2900,1 year ago,21:06
Programming in 6502 assembly on KIM-1 emulator but using Tiny BASIC as the code editor,219,1 year ago,9:58
6502 LIVE CODING: writing a program to feed source lines from the external editor to the assembler,67,1 year ago,29:11
If KIM-1 had a keyboard & monitor: part 2 | ESP32 KIM-1 TTY mode emulator,64,1 year ago,8:54
If KIM-1 had a keyboard & monitor: part 1 | ESP32 KIM-1 TTY mode emulator,110,1 year ago,8:32
If KIM-1 had a built in  video terminal | Arduino MEGA 2560 + TFT Shield emulation,100,1 year ago,15:36
Emulating ZX SPECTRUM in Javascript: CPU/RAM/ROM setup + video memory rendering,118,1 year ago,14:35
SPECIAL EPISODE: Code Monkey King's 1st computer - recovering home brewed ZX SPECTRUM after 30 years,88,1 year ago,22:35
How to subtract two 16-bit numbers in 6502 assembly?,109,1 year ago,11:38
How to add two 16-bit numbers in 6502 assembly?,308,1 year ago,25:00
What piece of software would you write if you know you've got only a few days to live?,215,1 year ago,42:45
Programming in 6502 machine codes on KIM-1 emulator,144,1 year ago,13:59
How to make HTTP requests with random PROXY & User Agent,1800,1 year ago,29:09
Getting started with NodeJS Puppeteer in 2022,644,1 year ago,12:29
REAL ESTATE property WEB CRAWLER restoration | Otodom WEB SCRAPING,749,1 year ago,49:40
Commercial REAL ESTATE property in Netherlands crawler restoration | Funda in business WEB SCRAPING,279,1 year ago,52:37
German REAL ESTATE property Python SCRAPY scraper restoration | Willhaben WEB SCRAPING,336,1 year ago,1:08:58
Portuguese REAL ESTATE property Python SCRAPY scraper restoration | Immovirtual WEB SCRAPING,151,1 year ago,42:01
Spanish REAL ESTATE property Python SCRAPY scraper restoration | Habitaclia WEB SCRAPING,248,1 year ago,29:25
Italian REAL ESTATE property Python SCRAPY scraper restoration | Immobiliare WEB SCRAPING,423,1 year ago,23:45
PayPal is now supported in Ukraine! Can you believe it!?,242,1 year ago,2:22
Code Monkey King is looking for freelance jobs urgently | war in Ukraine,641,1 year ago,5:31
This may be my last video because of war in Ukraine,973,1 year ago,4:05
Programming an application to turn any touch device into a computer remote control #5,141,1 year ago,44:04
Programming an application to turn any touch device into a computer remote control #4,45,1 year ago,23:49
Programming an application to turn any touch device into a computer remote control #3,62,1 year ago,18:10
Programming an application to turn any touch device into a computer remote control #2,40,1 year ago,13:01
Programming an application to turn any touch device into a computer remote control #1,102,1 year ago,22:23
How to turn an Android smartphone or IPhone into a remote control for your PC / Laptop,362,1 year ago,7:26
Programming TETRIS in vanilla JavaScript: remove blocks,105,1 year ago,28:29
Programming TETRIS in vanilla JavaScript: let them fall!,54,1 year ago,15:22
Programming TETRIS in vanilla JavaScript: move tetrominos,56,1 year ago,15:34
Programming TETRIS in vanilla JavaScript: collision detection,356,1 year ago,13:32
Programming TETRIS in vanilla JavaScript: rotating tetrominos,302,1 year ago,14:30
Programming TETRIS in vanilla JavaScript: fitting tetrominos,45,1 year ago,14:49
Programming TETRIS in vanilla JavaScript: rendering graphics,72,1 year ago,18:58
Programming TETRIS in vanilla JavaScript: core data structures,166,1 year ago,19:09
Programming TETRIS in vanilla JavaScript: intro & demo,287,1 year ago,8:22
All mighty GLOBAL variables applied for automated in-browser crawling & data extraction,192,1 year ago,26:36
Programming a Disassembler for Ben Eater's 8-bit breadboard computer emulator,119,1 year ago,37:10
Programming an Assembler for Ben Eater's 8-bit breadboard computer emulator,183,1 year ago,50:07
Programming Ben Eater's 8-bit breadboard computer emulator #3,79,1 year ago,37:35
Programming Ben Eater's 8-bit breadboard computer emulator #2,126,1 year ago,44:21
Programming Ben Eater's 8-bit breadboard computer emulator #1,339,1 year ago,29:06
You don't need programming tutorials - just learn to read the documentation,555,1 year ago,17:15
pyspark filter dataframe with sql,90,1 year ago,12:48
how to create dataframe with schema in pyspark,827,1 year ago,13:19
pyspark how to read csv file,468,1 year ago,5:22
pyspark how to read json file,633,1 year ago,11:44
how to create spark session,717,1 year ago,5:46
How to run PySpark Basic Examples,908,1 year ago,6:00
How to install PySpark,460,1 year ago,32:00
How to code; how to learn; how to learn to code | Code Monkey King,155,1 year ago,1:13:22
Let's turn this channel into a free on demand programming tutorials resource,157,1 year ago,7:19
Unorthodox web scraping -  In Browser Data Extraction Hack,343,1 year ago,34:04
Yet another long and boring talking video summarizing my YouTube experience,103,1 year ago,26:46
Downloading & Installing VICMON on ESP32 VIC-20 Emulator,287,1 year ago,6:41
How to install esp32 TTGO Micro 32 board + FabGL to Arduino IDE and setup Commodore VIC-20 emulator,1500,1 year ago,29:32
8052 computer with BASIC 52 interpreter: implementing SCREEN BUFFER,209,1 year ago,12:29
8052 computer with BASIC 52 interpreter: external memory READ/WRITE programming,226,1 year ago,29:37
Testing 8052 computer with BASIC 52 interpreter via serial monitor,387,1 year ago,19:17
SMART Response XE with BASIC interpreter and 4096 bytes EEPROM!,738,1 year ago,10:59
Unboxing ESP32 with Altair8800 + CP/M emulator & single board 8052 BASIC computer,248,1 year ago,8:33
Does anyone else think Lana Wachowski meant this?,130,1 year ago,17:21
interpreting the interpreter interpreting the interpreter interpreting BASIC is in fact interpreted,70,1 year ago,22:07
Making My Childhood Dream Come True After 25+ Years,269,1 year ago,28:12
$5 BASIC Programming Language of the late 70s and the rise of the Open Source Software,354,1 year ago,41:41
Loading and saving data in paper tape format on my Arduino based KIM-1 emulator in TTY mode,157,1 year ago,14:30
Testing my Arduino based KIM-1 emulator in Serial Mode | TTY mode,108,1 year ago,7:48
Arduino based KIM-1 emulator: resetting 6502 CPU; pointing PC to ROM and stepping a few instructions,99,1 year ago,15:50
Running 6502 CPU emulator on arduino with function pointer table stored into PROGMEM,352,1 year ago,10:51
I made simple SCROLLING BANNER program for KIM-1,88,1 year ago,9:41
Dynamically controlling interval timer from the UI in my KIM-1 emulator,28,1 year ago,2:06
Tuning Interval Timer for my KIM-1 emulator,40,1 year ago,5:54
Emulating KIM-1 Interval Timer in JavaScript,46,1 year ago,48:59
Playing FARMER BROWN on my KIM-1 emulator,68,1 year ago,9:14
Running ADDITION program on my KIM-1 emulator,31,1 year ago,11:38
KIM-1 Paper Tape Format Converter for my online KIM-1 emulator,97,1 year ago,11:27
Running KIM Venture on my KIM-1 emulator,141,1 year ago,25:22
Running Classical WAVE program on my KIM-1 emulator,57,1 year ago,8:52
Emulating Data Direction Register in my online KIM-1 emulator,45,1 year ago,6:35
Hello World on my KIM-1 Emulator,78,1 year ago,17:36
Programming 7 segment LEDs on my KIM-1 emulator,71,1 year ago,16:41
KIM-1 emulator running on Android smartphone,189,1 year ago,1:03
Running the very first program on my online KIM-1 emulator in JavaScript!,138,1 year ago,10:22
Accurately emulating KIM-1 keypad behavior or let the ROM do it's job!,27,1 year ago,25:51
Running KIM-1 emulator at 1Mhz + fix of display flickering,38,1 year ago,14:14
7 segment LEDs multiplexing - KIM-1 display in slow motion,52,1 year ago,7:51
Emulating 7 segment LED display for KIM-1,76,1 year ago,18:18
KIM-1 emulator in JavaScript development progress: resetting CPU; executing ROM code,135,1 year ago,29:45
Using pyautogui to upload HEX dump to KIM-1 emulator,58,1 year ago,16:43
Programming User Defined Graphics on LCD Screen in 6502 Machine Language,146,1 year ago,19:56
Old School Hardware with Dominic Bumbaca,134,1 year ago,28:31
Old School Hello World,83,1 year ago,26:44
Extending KIM Venture's output capabilities via using EEPROM,23,1 year ago,7:09
Old School Programming with Bob Leedom,258,1 year ago,1:15:32
Playing KIM Venture on Arduino KIM-1 emulator via serial monitor,81,1 year ago,21:22
KIM-1 Venture - loading game from paper tape; redirecting output to serial monitor,93,1 year ago,44:06
Arduino KIM-1 emulator update - programming LCD screen via 6502 machine codes,148,1 year ago,33:10
Arduino KIM-1 emulator with LCD display and keypad | Code Monkey KIM!,327,1 year ago,43:51
Pushing CMK computer to the limits + revealing similarities with KIM-1,45,1 year ago,14:37
Programming Mario walking across the LCD screen on CMK computer,111,1 year ago,1:02:38
Programming Hello World in CMK assembly to run it on CMK computer,55,1 year ago,27:11
Getting started with CMK computer: USER COMMANDS | LOADING & SAVING programs,29,1 year ago,47:12
Getting started with CMK computer: overview and online emulator,74,1 year ago,8:37
I built dynamically programmable Arduino Nano based 8-bit computer | CMK computer,362,1 year ago,4:18
Programming my Arduino Nano based 8-bit computer via serial port | CMK computer teaser trailer,41,1 year ago,1:08
Chrome Dinosaur Game but it runs on Arduino LCD shield 1602A D1 ROBOT,1500,1 year ago,2:54
Arduino nano + LCD Shield + 4x4 keypad assembled together | my first Arduino/electronics project,107,1 year ago,2:27
How to receive more than 64 bytes on Arduino | data chunk read delay trick on 9600 baud rate,283,1 year ago,27:41
Getting started with Arduino nano board | Arduino IDE | LED blink sketch | Serial port communication,130,1 year ago,13:26
Unboxing my very first MB-102 breadboard from AC-Arduino Kit - 7319 + TOP SECRET project bonus!,59,1 year ago,18:50
OR gate - logic | circuit | truth table | step by step build using 74HC32 quad 2-input OR gate IC,324,1 year ago,9:39
AND gate - logic | circuit | truth table | step by step build using 74HC08 quad 2-input AND gate IC,220,1 year ago,14:35
Building a CPU clock step by step using LM555 timer IC on a virtual breadboard in tinkercad,292,1 year ago,22:47
Bootable 6502 processor simulator I/O handling,93,1 year ago,26:23
Live coding a bootable 6502 processor simulator in x86 assembly: STX & STY with all addressing modes,81,1 year ago,54:33
Live coding a bootable 6502 processor simulator in x86 assembly: STA with absolute addressing mode,43,1 year ago,27:59
Live coding a bootable 6502 processor simulator in x86 assembly: STA with zero page addressing mode,47,1 year ago,1:02:51
Live coding a bootable 6502 processor simulator in x86 assembly: LDY with all addressing modes,54,1 year ago,48:31
Live coding a bootable 6502 processor simulator in x86 assembly: LDX with all addressing modes,91,1 year ago,1:05:45
6502 assembly indirect addressing explained,378,1 year ago,19:56
Test program for Apple 1 computer (1976) disassembled and explained,291,1 year ago,27:56
Unit testing in x86 assembly language for my bootable 6502 processor simulator  project,121,1 year ago,1:14:18
Bootable 6502 processor simulator executes LDA with immediate addressing,90,1 year ago,24:32
Tips and tricks to make your life easier while debugging assembly code,82,1 year ago,24:40
Building bootable virtual MOS 6502 processor simulator in x86 assembly - intro; idea & project goals,480,1 year ago,56:53
6502 assembly programming crash course,2400,1 year ago,1:19:48
Why learn 6502 assembly in 2021 + JavaScript 6502 assembler and simulator environment overview,502,1 year ago,51:07
A bootable x86 assembler in under 512 bytes,370,1 year ago,27:44
Matrix screensaver | Rain code - live coding in x86 machine codes under my own OS | Hand assembling,372,1 year ago,1:07:48
Sokoban OS & the boot sector game development kungfu,395,1 year ago,35:57
"""Hello; world!"" in x86 machine codes | Hand assembling & coding under my own OS on the real hardware",185,1 year ago,41:45
Hand assembling x86 assembly AND; OR; XOR instructions to x86 machine codes,125,1 year ago,20:00
Hand assembling x86 assembly SUB command to x86 machine codes,60,1 year ago,10:40
Hand assembling x86 assembly ADD command to x86 machine codes,90,1 year ago,10:23
Hand assembling x86 assembly JMP command to x86 machine codes,171,1 year ago,13:27
Hand assembling x86 assembly MOV commands to x86 machine codes,198,1 year ago,33:06
Assembling assembly program to x86 machine codes by hands | Hand assembly instruction handout,397,1 year ago,47:43
Operating system for developing boot sector games in x86 machine codes | GameOS: developer pack,175,1 year ago,26:08
Coding 'new' command in x86 assembly for GameOS to reset x86 machine codes in hex editor,48,1 year ago,10:41
Coding 'load' command in x86 assembly for GameOS to save x86 machine codes to hex editor,31,1 year ago,1:00:06
Coding 'save' command in x86 assembly for GameOS to save x86 machine codes input by hex editor,22,1 year ago,1:33:14
Coding 'run' command in x86 assembly for GameOS to run x86 machine codes input by hex editor,39,1 year ago,20:35
Coding hex editor in x86 assembly for GameOS - Part 5 - completing editor & end result demo,77,1 year ago,1:09:24
Coding hex editor in x86 assembly for GameOS - Part 4 - encoding byte and writing it to RAM,55,1 year ago,30:56
Coding hex editor in x86 assembly for GameOS - Part 3 - printing hex dump,66,1 year ago,37:51
Coding hex editor in x86 assembly for GameOS - Part 2 - converting BYTES to ASCII characters,103,1 year ago,45:56
Coding hex editor in x86 assembly for GameOS - Part 1 - memory layout & merging editor into OS build,98,1 year ago,16:47
"Improved ""list"" command for GameOS + some house keeping in shell & bootloader",27,1 year ago,18:25
Coding in machine codes on a real hardware in a hex editor under my own 16-bit real mode OS,115,1 year ago,30:57
I made an OS for running boot sector games & apps,232,1 year ago,29:53
Coding  list command for GameOS in x86 assembly,37,1 year ago,30:46
Coding GameOS in x86 assembly - setting up stack segment; stack pointer and base pointer,130,1 year ago,28:14
Coding shell in x86 assembly for GameOS - search & execute files,76,1 year ago,42:50
Coding shell in x86 assembly for GameOS - Referencing variables from physical addresses,77,1 year ago,37:23
Coding shell in x86 assembly for GameOS - comparing strings,135,1 year ago,28:11
Coding shell in x86 assembly for GameOS - erasing characters on screen and in the user input buffer,75,1 year ago,14:42
Coding OS shell in x86 assembly for GameOS - echoing user input to screen,136,1 year ago,47:28
Coding OS shell in x86 assembly for GameOS - 16-bit real mode memory segmentation & far jumps,370,1 year ago,55:12
Coding OS bootloader in x86 assembly for GameOS - loading sector from USB flash drive,467,1 year ago,49:27
Coding OS bootloader in x86 assembly for GameOS - a bare metal system for running boot sector games,736,1 year ago,1:02:06
How to create a bootable USB flash drive running a boot sector game | boot sector games,932,1 year ago,30:36
Simple raycasting with JavaScript & HTML5 canvas: part 7 - designing game map,1700,2 years ago,1:04:44
Simple raycasting with JavaScript & HTML5 canvas: part 6 - rendering wall textures,1600,2 years ago,48:59
Simple raycasting with JavaScript & HTML5 canvas: part 5 - rendering 3D projection,1100,2 years ago,23:16
Simple raycasting with JavaScript & HTML5 canvas: part 4 - implementing raycasting,1400,2 years ago,41:52
Simple raycasting with JavaScript & HTML5 canvas: part 3 - moving player & detecting wall collisions,1700,2 years ago,37:32
Simple raycasting with JavaScript & HTML5 canvas: part 2 - creating game world,2200,2 years ago,16:46
Simple raycasting with JavaScript & HTML5 canvas: part 1 - initializing canvas & setting up FPS rate,5500,2 years ago,23:05
Matrix code rain raycaster | Python & PyGame,189,2 years ago,1:13
I made Wolfenstein 3D draft using python & pygame,1900,2 years ago,1:20
Doors in my raycasting engine using python & pygame ( inspired by Wolfenstein 3D ),594,2 years ago,4:26
Sprites in my raycasting engine using python & pygame ( inspired by Wolfenstein 3D ),534,2 years ago,9:57
I made Wolfenstein 3D raycasting engine using python & pygame in under 200 lines of code!,2000,2 years ago,9:40
The hard decision & new direction,96,2 years ago,24:22
Simple raycasting with python & pygame: rendering 3D projection,4000,2 years ago,29:44
Simple raycasting with python & pygame: implementing raycasting,11000,2 years ago,46:34
Simple raycasting with python & pygame: drawing 2D map,8100,2 years ago,22:35
Simple raycasting with python & pygame: intro & demo,1900,2 years ago,2:49
Interactive retro shell to code in any programming language ( inspired by ZX Spectrum ),76,2 years ago,16:51
PyBasic: program like it's 1979!,263,2 years ago,23:55
opencv object detection - automated python chess bot to play on any website using pyautogui,3000,2 years ago,6:20
How to crop images using Python and OpenCV,1300,2 years ago,5:32
How to locate an object on a screenshot using Python; OpenCV & PyAutoGUI,17000,2 years ago,14:25
Mouse control with fly swatter!,369,2 years ago,38:28
every love story - whiteboard animation,207,2 years ago,5:39
bulk download images from pinterest,716,2 years ago,28:11
Automating SAND ANIMATION using Python & OpenCV,355,2 years ago,6:45
How to record desktop screen using Python; OpenCV & PyAutoGUI,3700,2 years ago,11:06
How to record video from a webcam using Python & OpenCV,6200,2 years ago,8:14
When you don't have a chromakey but want to have an epic background...,231,2 years ago,6:11
Contours & Masks using Python & OpenCV - How to separate object from image background?,12000,2 years ago,26:21
How to make a SIMPLE ANIMATION of FADE IN video effect using Python & OpenCV,1200,2 years ago,22:30
Fully Automated Whiteboard Animation with Python; OpenCV & PyAutoGUI,1600,2 years ago,5:37
Live coding an app for drawing with mouse using Python & OpenCV,1300,2 years ago,12:33
Image edge detection with Python and OpenCV,821,2 years ago,12:10
Convert An Image To Grayscale or Black And White using Python & OpenCV,6200,2 years ago,8:35
Doodly like animation drawing with PyAutoGUI | Drawing automation with python,809,2 years ago,8:43
Draw Korean actress Lee Min-jung ( 이민정 ) and Play Virtual Piano | Python automation with PyAutoGUI,173,2 years ago,3:53
ZX Spectrum styled Youtube channel intro with PyAutoGUI; Pinta; Virtual Piano and Shotcut,49,2 years ago,0:21
I Draw Dr. Pi Like A Printer with PyAutoGUI feat. Hans Zimmer | Drawing automation with Python,255,2 years ago,5:13
I Draw Like A Printer ( self-portrait ) with PyAutoGUI | Python automation for drawing,2100,2 years ago,8:51
How to make money on music covers without copyright claims?,100,2 years ago,11:49
Goblin OST - 운명  (Fate) | Virtual Piano cover by PyAutoGUI,122,2 years ago,1:40
Yann Tiersen - Comptine d'un autre été (Amélie) | Virtual Piano cover by PyAutoGUI,75,2 years ago,3:21
Yann Tiersen - La Valse d'Amelie | Virtual Piano cover by PyAutoGUI,105,2 years ago,3:59
Interstellar Main Theme  OST | Hans Zimmer - First step | Virtual piano cover by PyAutoGUI,246,2 years ago,3:39
Yiruma; (이루마) - River Flows in You | Virtual Piano cover by PyAutoGUI,348,2 years ago,2:07
I played YIRUMA - RIVER FLOWS IN YOU on Virtual Piano from Python | PyAutoGUI keyboard automation,653,2 years ago,7:41
Mouse and keyboard automation using Python | PyAutoGUI,605,2 years ago,11:29
LIVE CODING web based FILE MANAGER with Python & Flask,3300,2 years ago,1:03:04
Моя ежедневная практика улучшения уровня английского / My continuous improvement practice in English,51,2 years ago,57:24
Turning YouTube into a job in 2021: my experience,65,2 years ago,22:59
Web scraping as a job in 2021: Pros & Cons,395,2 years ago,17:22
Лондон из зе кэпитал оф Грейт Британ / British blogger reaction to Ukrainian English textbook,162,2 years ago,44:53
CMK & Dr. Pi - behind the scenes: completely done after 2 hours! | Как мы снимали интервью),46,2 years ago,7:15
Британец учится говорить на русском! | Dr. Pi speaks Russian with almost perfect pronunciation!,51,2 years ago,16:52
Британский фрилансер и блогер учит русский алфавит! | Dr. Pi acquires Russian alphabet from CMK!,54,2 years ago,15:53
Dr. Pi & CMK - behind the scenes: Dr. Pi forgets that we're recording and destroys my monetization!,53,2 years ago,2:24
"Как понимать английский на слух? Показываю! / Code Monkey King reacts to ""Why?"" by Dr. Pi",65,2 years ago,53:12
Python programming; web scraping; English; Korean and now Qigong? Many expressions of a single flow!,109,2 years ago,8:32
Как пройти собеседование на английском? | How to compose your developer's story as a freelancer?,45,2 years ago,48:25
Как учить английский язык? Сам понял пока делал это видео! English tense system & sentence building,59,2 years ago,1:22:26
How to make money on open source software? | Как зарабатывать на Open Source?,102,2 years ago,58:02
Английский в IT: целый час говорю с носителем языка! / Interview with a former CISCO engineer Dr. PI,155,2 years ago,1:12:04
"Зарплаты в IT - от чего зависят; мой опыт как ""ВОЙТИ И УЙТИ ИЗ АЙТИ"" | What affects IT salaries?",157,2 years ago,1:34:36
Как начучиться думать на английском? | Learn to think in English like native speakers do!,69,2 years ago,1:34:41
Advanced English Tutorial: Building a REALLY LONG ENGLISH sentence with all the bells and whistles!,76,2 years ago,55:57
How to directly download a file protected by HTTP Strict Transport Security (HSTS) using Python,214,2 years ago,6:09
러시아어를 구사하는 우크라이나 남자가 한국게 사람들 영어를 가르치다: 영어 대명사,84,2 years ago,13:33
러시아어를 구사하는 우크라이나 남자가 한국게 사람들 영어를 가르치다: 영어 문장의 어순,201,2 years ago,9:20
How to bring your English to the next level | 러시아 남자는 한국 사람들에게 영어를 가르치고 싶어요,72,2 years ago,45:24
Live coding a simple web applications for displaying & editing CSV files as simple HTML tables,2600,2 years ago,2:56:46
I made a web scraping tutorial in Korean after 1 month of studying Korean - 외국인이 한국어로 프로그래밍 영상 제작,143,2 years ago,20:57
My bare python web scraping tutorial helped my subscriber to land a job + thoughts on learning path,173,2 years ago,18:15
Korean sentence building practice - composing an intro for my future web scraping tutorial in Korean,54,2 years ago,39:49
I scored 71/100 in Korean most common verbs quiz!,31,2 years ago,27:03
The conceptual difference between tenses in Korean and English - VERB and TENSE oriented mentality,50,2 years ago,38:17
Practicing Korean sentence building with CAN / CAN'T and working on speaking errors I've made before,40,2 years ago,31:55
5 Korean grammar points in one YouTube video thumbnail!,23,2 years ago,33:05
MY ONE MONTH KOREAN PROGRESS - I SPEAK FOR A MINUTE AND A HALF IN ONE TAKE; 개월 한국어 공부해 그리고 말하고 수 있어요,160,2 years ago,1:31
